identifier,nsid,user,year,camera,title,longitude,latitude,url,license
4224177264,36989139@N03,Enterpr1se,2007,NIKON,DSC_0698,114.172041,22.280847,http://farm5.staticflickr.com/4053/4224177264_87a841e2b6.jpg,by-nc-sa
5250399710,82955071@N00,rickytanghkg,2010,SONY,DSC06147,114.129619,22.366685,http://farm6.staticflickr.com/5086/5250399710_4b61dd4303.jpg,by-nc-nd
8592150396,44799907@N00,Jeromyu,2012,APPLE,IMG_0366,114.060916,22.252638,http://farm9.staticflickr.com/8243/8592150396_02ba9f4d2a.jpg,by-nc-nd
474583496,56963596@N00,Andreas.,2006,CANON,Memories of HongKong,114.166006,22.299232,http://farm1.staticflickr.com/209/474583496_8fe6b3e94f.jpg,by-sa
6560010177,31384508@N02,ken8303,2011,CANON,IMG_2061,114.182024,22.301355,http://farm8.staticflickr.com/7029/6560010177_50e1302d93.jpg,by-nc-sa
1952368498,13446136@N03,tangdersons,2005,CANON,Coke Bottle,114.177432,22.301842,http://farm3.staticflickr.com/2399/1952368498_1b6976d241.jpg,by-nc-nd
6956112267,8664669@N08,folldark,2011,PANASONIC,,114.149887,22.271335,http://farm8.staticflickr.com/7205/6956112267_21be318f30.jpg,by-nc-sa
2128661485,22055616@N04,DesVoeux,2007,PANASONIC,SARS Memorial,114.161885,22.277908,http://farm3.staticflickr.com/2218/2128661485_57f2730c6a.jpg,by-nc-sa
6508611961,26666270@N07,%E4%BD%A0%E9%80%99%E9%82%8A%E7%8E%A9,2011,SONY,DSC00442.jpg,114.169106,22.296065,http://farm8.staticflickr.com/7159/6508611961_07ccba0044.jpg,by-nc-nd
8521682304,14798958@N08,ericcwtse,2013,NIKON,DSCN1147,114.165222,22.363491,http://farm9.staticflickr.com/8094/8521682304_397f067669.jpg,by
9210269205,84378829@N04,Xin Li 2012,2011,CANON,IMG_1292,114.173312,22.271107,http://farm4.staticflickr.com/3674/9210269205_bf8cf83d76.jpg,by-nc-sa
3068651374,10596458@N08,fung1981,2008,CANON,IMG_3349,114.160341,22.280921,http://farm4.staticflickr.com/3233/3068651374_fb3e75ebf6.jpg,by-nc-nd
3465874164,8871838@N04,ziptweric,2009,CANON,IMG_4491,114.136962,22.350075,http://farm4.staticflickr.com/3576/3465874164_c7fe890ed6.jpg,by-nc-nd
5237500414,35034345541@N01,moleitau,2010,CANON,Hong Kong%2C November 2010,114.158058,22.281944,http://farm6.staticflickr.com/5082/5237500414_197ce3455e.jpg,by-nc-sa
8240010490,90688689@N03,TACONA1016,2010,NIKON,DSC_0678_01,114.156188,22.278295,http://farm9.staticflickr.com/8062/8240010490_767ac403fd.jpg,by-nc-sa
3352620219,34639954@N00,david_yuu,2009,SONY,FlowerShow2009-08,114.188064,22.282746,http://farm2.staticflickr.com/1138/3352620219_c18888a99d.jpg,by-nc-sa
72322558,99708700@N00,hermanwest,2005,CANON,Hopewell Centre,114.173011,22.276627,http://farm1.staticflickr.com/35/72322558_17b7e97ef5.jpg,by-nc-sa
4220868669,36989139@N03,Enterpr1se,2006,NIKON,_DSC0198,114.172858,22.336363,http://farm3.staticflickr.com/2545/4220868669_c8bec91249.jpg,by-nc-sa
4220535053,36989139@N03,Enterpr1se,2006,PANASONIC,P1020615,114.173011,22.336144,http://farm5.staticflickr.com/4022/4220535053_691e256b30.jpg,by-nc-sa
4461709805,38620478@N07,Clayton Chwang,2010,CANON,IMG_0910,114.167481,22.297385,http://farm5.staticflickr.com/4001/4461709805_c90608490b.jpg,by-nc-nd
3042458787,36449657@N00,evas%C3%A8e,2008,CANON,peces,114.183053,22.317014,http://farm4.staticflickr.com/3043/3042458787_90536508e7.jpg,by-nc-sa
4960276624,32745330@N00,tenz1225,2010,SONY,%E7%BE%8E%E5%88%A9%E6%A8%93 Mijas,114.209666,22.217833,http://farm5.staticflickr.com/4149/4960276624_3b6c1d17ba.jpg,by-nc-sa
8575461516,28010957@N03,pita0905,2013,CANON,Ball of Light at West Kowloon Promenade,114.158866,22.333089,http://farm9.staticflickr.com/8385/8575461516_5eba1f4deb.jpg,by-nc-nd
4413506535,82955071@N00,rickytanghkg,2010,SONY,_DSC4228_cr,114.226366,22.310696,http://farm3.staticflickr.com/2720/4413506535_3563013f4e.jpg,by-nc-nd
3387402944,13257083@N08,herrkloeppel,2009,CANON,IMG_2407,114.152755,22.279565,http://farm4.staticflickr.com/3541/3387402944_fa1d883a16.jpg,by
5197272933,82955071@N00,rickytanghkg,2010,SONY,DSC04799,114.125128,22.358063,http://farm5.staticflickr.com/4107/5197272933_9c3dd474f3.jpg,by-nc-nd
8997381247,19282957@N00,iombie,2013,SONY,,114.169493,22.293053,http://farm3.staticflickr.com/2866/8997381247_7a41c8f9d0.jpg,by-nc-nd
6830243051,31384508@N02,ken8303,2012,CANON,IMG_6116,114.234659,22.298869,http://farm8.staticflickr.com/7151/6830243051_044282f8ee.jpg,by-nc-sa
8297295560,47792984@N00,BobbyHsu,2012,SONY,DSC_0893.jpg,114.166266,22.279233,http://farm9.staticflickr.com/8497/8297295560_fd1e760e5f.jpg,by-nc-sa
5539711845,10596458@N08,fung1981,2011,PANASONIC,P1010368,114.189223,22.281303,http://farm6.staticflickr.com/5211/5539711845_8a118ec089.jpg,by-nc-nd
11601699136,8798099@N02,Qsimple,2013,CANON,2013-11-24 Hong Kong Day 3%2C Golden Bauhinia Square,114.173678,22.284298,http://farm4.staticflickr.com/3783/11601699136_afd26f6086.jpg,by-nc-sa
1784610952,90303352@N00,dmyhung,2007,SONY,DSC01824,114.208331,22.321048,http://farm3.staticflickr.com/2261/1784610952_93c0ac6023.jpg,by-nc-nd
9103294788,19282957@N00,iombie,2013,APPLE,,114.158,22.331,http://farm6.staticflickr.com/5508/9103294788_331e325e77.jpg,by-nc-nd
1808012925,96941606@N00,ryanne %7B trimmed reality %7D,2007,NIKON,DSC_1747,114.182195,22.283958,http://farm3.staticflickr.com/2063/1808012925_08c9ec746c.jpg,by-nc
3550198611,48453097@N00,jon_lin,2009,NIKON,DSC_2271,114.193988,22.23733,http://farm4.staticflickr.com/3411/3550198611_f2eaf48eed.jpg,by-nc-nd
2901795880,94786337@N00,aliciagriffin,2008,CANON,paper light,114.178504,22.277818,http://farm4.staticflickr.com/3197/2901795880_4f3515e644.jpg,by-nc-nd
1809130436,7740501@N06,fishy68,2007,SONY,DSC03515.JPG,114.155845,22.273609,http://farm3.staticflickr.com/2058/1809130436_f9a9fc8396.jpg,by
4013438589,36989139@N03,Enterpr1se,2009,PANASONIC,P1100244,114.171036,22.234922,http://farm4.staticflickr.com/3241/4013438589_a951893011.jpg,by-nc-sa
1423977834,97681386@N00,edwin.11,2007,NIKON,View From The Peak,114.155158,22.261376,http://farm2.staticflickr.com/1242/1423977834_44eec2a841.jpg,by
